year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,water_not_stored_0_18in_gal_strip,estimated_storage_fraction_0_18in,water_not_stored_0_18in_fraction,whole_strip_storage_estimate_available,bottom_6in_arrival_time,bottom_6in_arrival_delay_hr,bottom_6in_response_observed,bottom_6in_arrival_before_irrigation_end,bottom_6in_arrival_after_irrigation_end,post_bottom_6in_arrival_runtime_hr,post_bottom_6in_arrival_applied_gal,post_bottom_6in_arrival_applied_fraction,potential_surface_runoff_gal,potential_surface_runoff_fraction,potential_surface_runoff_available,estimated_storage_percent,potential_surface_runoff_percent
2024.00,S3_S4,west,S3,2024-05-17_S3_S4_09c73fc7,2024-05-17 13:31:00,2024-05-17 19:09:00,47550.00,5.63,8440.83,4999.94,7114.92,7164.64,3.00,True,3.00,19279.50,28270.50,False,28270.50,0.41,0.59,True,2024-05-17 14:00:00,0.48,True,True,False,5.15,43469.98,0.91,28270.50,0.59,True,40.55,59.45
2024.00,S3_S4,west,S3,2024-06-01_S3_S4_0880f850,2024-06-01 08:29:00,2024-06-01 17:57:00,61450.00,9.47,6491.20,5987.29,8882.65,8669.40,3.00,True,3.00,23539.35,37910.65,False,37910.65,0.38,0.62,True,2024-06-01 09:15:00,0.77,True,True,False,8.70,56473.63,0.92,37910.65,0.62,True,38.31,61.69
2024.00,S3_S4,west,S3,2024-06-15_S3_S4_b6aa9839,2024-06-15 07:29:00,2024-06-15 16:13:00,52500.00,8.73,6011.45,5918.93,7836.34,8301.44,3.00,True,3.00,22056.71,30443.29,False,30443.29,0.42,0.58,True,2024-06-15 08:15:00,0.77,True,True,False,7.97,47891.02,0.91,30443.29,0.58,True,42.01,57.99
2024.00,S3_S4,west,S3,2024-06-28_S3_S4_14b9d993,2024-06-28 08:19:00,2024-06-28 14:44:00,39650.00,6.42,6179.22,5459.48,6366.94,6807.80,3.00,True,3.00,18634.22,21015.78,False,21015.78,0.47,0.53,True,2024-06-28 08:45:00,0.43,True,True,False,5.98,36972.54,0.93,21015.78,0.53,True,47.00,53.00
2024.00,S3_S4,west,S3,2024-07-11_S3_S4_d29231ea,2024-07-11 10:01:00,2024-07-11 17:39:00,46550.00,7.63,6098.25,7746.97,7631.67,8185.05,3.00,True,3.00,23563.70,22986.30,False,22986.30,0.51,0.49,True,2024-07-11 10:45:00,0.73,True,True,False,6.90,42077.74,0.90,22986.30,0.49,True,50.62,49.38
2024.00,S3_S4,west,S3,2024-07-26_S3_S4_fd133a4c,2024-07-26 19:02:00,2024-07-27 07:21:00,71850.00,12.32,5833.56,9673.49,10840.94,10119.71,3.00,True,3.00,30634.14,41215.86,False,41215.86,0.43,0.57,True,2024-07-26 20:00:00,0.97,True,True,False,11.35,66211.09,0.92,41215.86,0.57,True,42.64,57.36
2024.00,S3_S4,west,S3,2024-08-09_S3_S4_fd100e26,2024-08-09 08:45:00,2024-08-09 15:50:00,46900.00,7.08,6621.18,7240.48,7792.47,7931.10,3.00,True,3.00,22964.05,23935.95,False,23935.95,0.49,0.51,True,2024-08-09 09:45:00,1.00,True,True,False,6.08,40278.60,0.86,23935.95,0.51,True,48.96,51.04
2024.00,S3_S4,west,S3,2024-08-23_S3_S4_0b64e5f5,2024-08-23 09:32:00,2024-08-23 15:04:00,30150.00,5.53,5448.80,6193.01,6613.60,6850.33,3.00,True,3.00,19656.95,10493.05,False,10493.05,0.65,0.35,True,2024-08-23 10:15:00,0.72,True,True,False,4.82,26244.85,0.87,10493.05,0.35,True,65.20,34.80
2024.00,S3_S4,west,S3,2024-09-06_S3_S4_9e0ce675,2024-09-06 09:33:00,2024-09-06 16:29:00,48950.00,6.93,7060.10,5341.61,7419.09,6574.23,3.00,True,3.00,19334.94,29615.06,False,29615.06,0.40,0.60,True,2024-09-06 10:15:00,0.70,True,True,False,6.23,44007.70,0.90,29615.06,0.60,True,39.50,60.50
2024.00,S3_S4,west,S3,2024-09-20_S3_S4_032d9e33,2024-09-20 14:27:00,2024-09-20 17:52:00,16450.00,3.42,4814.63,4179.43,7362.70,6974.40,3.00,True,3.00,18516.53,-2066.53,True,0.00,1.13,0.00,True,2024-09-20 16:00:00,1.55,True,True,False,1.87,8987.48,0.55,0.00,0.00,True,112.56,0.00
2024.00,S3_S4,west,S3,2024-10-04_S3_S4_bf53dc9a,2024-10-04 11:55:00,2024-10-04 18:02:00,47200.00,6.12,7716.62,5519.69,8838.50,7322.51,3.00,True,3.00,21680.69,25519.31,False,25519.31,0.46,0.54,True,2024-10-04 12:30:00,0.58,True,True,False,5.53,42698.90,0.90,25519.31,0.54,True,45.93,54.07
2024.00,S3_S4,west,S3,2024-10-18_S3_S4_e3314155,2024-10-18 09:34:00,2024-10-18 17:17:00,53550.00,7.72,6939.52,5137.38,7681.19,6021.58,3.00,True,3.00,18840.16,34709.84,False,34709.84,0.35,0.65,True,2024-10-18 10:00:00,0.43,True,True,False,7.28,50543.10,0.94,34709.84,0.65,True,35.18,64.82
2024.00,S3_S4,west,S4,2024-05-17_S3_S4_09c73fc7,2024-05-17 13:31:00,2024-05-17 19:09:00,47550.00,5.63,8440.83,4704.29,5567.17,7885.89,3.00,True,3.00,18157.36,29392.64,False,29392.64,0.38,0.62,True,2024-05-17 14:45:00,1.23,True,True,False,4.40,37139.36,0.78,29392.64,0.62,True,38.19,61.81
2024.00,S3_S4,west,S4,2024-06-28_S3_S4_14b9d993,2024-06-28 08:19:00,2024-06-28 14:44:00,39650.00,6.42,6179.22,2379.07,4841.47,9269.44,3.00,True,3.00,16489.99,23160.01,False,23160.01,0.42,0.58,True,2024-06-28 11:30:00,3.18,True,True,False,3.23,19979.69,0.50,23160.01,0.58,True,41.59,58.41
2024.00,S3_S4,west,S4,2024-07-26_S3_S4_fd133a4c,2024-07-26 19:02:00,2024-07-27 07:21:00,71850.00,12.32,5833.56,,10822.11,10092.22,2.00,False,2.00,,,False,,,,False,2024-07-27 07:00:00,11.97,True,True,False,0.35,2041.94,0.03,,,False,,
2024.00,S3_S4,west,S4,2024-08-09_S3_S4_fd100e26,2024-08-09 08:45:00,2024-08-09 15:50:00,46900.00,7.08,6621.18,,6255.78,8664.02,2.00,False,2.00,,,False,,,,False,2024-08-09 15:15:00,6.50,True,True,False,0.58,3862.13,0.08,,,False,,
2024.00,S3_S4,west,S4,2024-08-23_S3_S4_0b64e5f5,2024-08-23 09:32:00,2024-08-23 15:04:00,30150.00,5.53,5448.80,,6361.20,8022.45,2.00,False,2.00,,,False,,,,False,2024-08-23 21:00:00,11.47,True,False,True,0.00,0.00,0.00,,,False,,
2024.00,S3_S4,west,S4,2024-09-06_S3_S4_9e0ce675,2024-09-06 09:33:00,2024-09-06 16:29:00,48950.00,6.93,7060.10,,8494.33,6865.31,2.00,False,2.00,,,False,,,,False,2024-09-06 14:15:00,4.70,True,True,False,2.23,15767.31,0.32,,,False,,
2024.00,S3_S4,west,S4,2024-09-20_S3_S4_032d9e33,2024-09-20 14:27:00,2024-09-20 17:52:00,16450.00,3.42,4814.63,,,9159.51,1.00,False,1.00,,,False,,,,False,,,False,False,False,,,,,,False,,
2024.00,S3_S4,west,S4,2024-10-04_S3_S4_bf53dc9a,2024-10-04 11:55:00,2024-10-04 18:02:00,47200.00,6.12,7716.62,2749.55,9741.97,9229.81,3.00,True,3.00,21721.34,25478.66,False,25478.66,0.46,0.54,True,2024-10-04 15:15:00,3.33,True,True,False,2.78,21478.19,0.46,25478.66,0.54,True,46.02,53.98
